Real;User;CPU%;System;Exit
10.90;15.80;146%;0.19;0
10.44;15.72;153%;0.30;0
10.39;15.79;155%;0.30;0
10.23;15.71;156%;0.31;0
10.11;15.38;154%;0.24;0
9.43;14.86;162%;0.44;0
9.35;14.81;163%;0.50;0
9.29;14.42;160%;0.51;0
9.37;15.08;164%;0.33;0
9.47;15.07;164%;0.49;0
9.28;14.64;162%;0.48;0
9.41;14.96;163%;0.45;0
9.34;14.86;163%;0.40;0
9.59;15.41;165%;0.47;0
9.31;14.77;163%;0.46;0
9.42;14.87;162%;0.42;0
9.37;14.80;162%;0.39;0
9.40;15.06;164%;0.40;0
9.37;14.86;163%;0.51;0
9.43;15.00;164%;0.54;0
9.41;14.87;162%;0.46;0
9.26;14.78;164%;0.45;0
9.36;14.95;163%;0.38;0
9.31;14.97;163%;0.29;0
9.41;14.96;163%;0.41;0
9.50;15.05;163%;0.44;0
9.47;14.89;162%;0.54;0
9.34;14.86;163%;0.42;0
9.31;14.74;163%;0.47;0
9.37;14.88;163%;0.43;0
9.46;15.18;164%;0.41;0
9.35;14.93;164%;0.49;0
9.31;14.98;165%;0.42;0
9.84;16.93;175%;0.32;0
9.34;14.81;163%;0.43;0
9.55;15.32;165%;0.46;0
9.35;14.94;164%;0.48;0
9.36;15.00;164%;0.42;0
9.38;14.91;163%;0.46;0
9.41;15.04;164%;0.44;0
9.44;15.11;165%;0.51;0
9.51;15.17;164%;0.46;0
9.49;15.21;164%;0.41;0
9.41;14.84;162%;0.48;0
9.43;14.93;163%;0.47;0
9.36;15.14;165%;0.32;0
9.34;14.74;164%;0.58;0
9.38;14.81;162%;0.42;0
9.38;14.73;162%;0.49;0
9.44;15.01;163%;0.43;0
9.33;14.87;163%;0.42;0
9.85;16.93;176%;0.46;0
9.34;14.88;162%;0.29;0
9.40;14.88;162%;0.44;0
9.49;15.06;162%;0.40;0
9.41;15.11;164%;0.34;0
9.45;15.07;164%;0.46;0
9.36;14.92;163%;0.41;0
9.35;14.97;164%;0.42;0
9.38;14.96;163%;0.40;0
9.18;14.19;160%;0.55;0
9.41;14.92;162%;0.35;0
9.40;15.18;166%;0.48;0
9.49;15.24;165%;0.43;0
9.37;14.91;163%;0.41;0
9.36;14.80;163%;0.51;0
9.40;14.97;164%;0.46;0
9.23;14.88;164%;0.31;0
9.31;15.00;164%;0.26;0
9.34;14.87;162%;0.33;0
9.42;14.90;162%;0.45;0
9.27;14.63;162%;0.39;0
9.58;15.00;161%;0.45;0
9.34;14.86;162%;0.36;0
9.50;15.04;163%;0.52;0
9.54;15.09;162%;0.38;0
9.41;15.12;164%;0.39;0
9.40;15.04;164%;0.39;0
9.45;15.05;163%;0.39;0
9.32;14.81;162%;0.35;0
9.36;14.96;164%;0.45;0
9.25;14.81;163%;0.28;0
9.33;14.90;164%;0.44;0
9.36;14.83;162%;0.40;0
9.60;15.13;162%;0.44;0
9.40;14.92;163%;0.43;0
9.38;14.90;163%;0.42;0
9.37;15.04;165%;0.44;0
9.35;14.87;163%;0.38;0
9.41;14.90;163%;0.46;0
9.34;15.15;165%;0.32;0
10.00;17.37;177%;0.42;0
9.37;14.95;162%;0.33;0
9.47;15.02;163%;0.42;0
9.42;15.07;164%;0.39;0
9.39;14.99;163%;0.38;0
9.35;14.87;163%;0.42;0
9.34;14.68;162%;0.47;0
9.50;15.05;162%;0.36;0
9.36;14.80;162%;0.40;0
