Real;User;CPU%;System;Exit
245.98;294.29;120%;1.80;0
248.90;297.62;120%;1.84;0
255.36;303.15;119%;1.99;0
230.27;277.33;121%;2.15;0
235.76;284.03;121%;1.66;0
232.71;279.71;120%;1.77;0
233.11;279.08;120%;1.86;0
243.69;289.51;119%;2.00;0
244.83;292.73;120%;1.98;0
253.01;301.79;120%;2.09;0
257.41;305.47;119%;2.00;0
244.55;292.99;120%;1.57;0
250.96;298.53;119%;1.97;0
248.79;296.85;120%;1.71;0
251.31;300.62;120%;2.02;0
243.34;290.28;120%;1.89;0
248.60;296.50;120%;1.92;0
241.82;288.73;120%;1.64;0
229.50;276.62;121%;2.02;0
225.50;273.20;122%;1.96;0
250.40;299.12;120%;1.68;0
238.17;286.99;121%;1.73;0
239.99;286.10;120%;1.91;0
231.21;278.33;121%;2.01;0
254.75;300.48;118%;1.98;0
249.82;298.17;120%;1.89;0
245.25;294.15;120%;1.77;0
235.51;283.07;120%;1.76;0
247.65;296.04;120%;1.98;0
234.64;282.54;121%;2.01;0
250.56;297.65;119%;2.05;0
237.86;283.51;119%;1.82;0
231.85;277.92;121%;2.85;0
249.88;298.40;120%;2.06;0
236.10;280.02;119%;1.92;0
245.16;293.23;120%;1.83;0
244.85;289.45;119%;1.93;0
231.56;279.36;121%;1.85;0
229.67;272.48;119%;2.73;0
243.75;289.37;119%;1.79;0
250.22;299.01;120%;1.78;0
248.27;296.50;120%;1.87;0
246.57;292.41;119%;2.50;0
242.61;290.89;120%;1.96;0
254.50;297.98;118%;2.40;0
245.69;288.43;118%;2.25;0
245.39;292.47;119%;1.83;0
244.93;286.30;117%;1.79;0
241.22;288.16;120%;1.78;0
255.14;297.58;117%;2.36;0
247.60;296.49;120%;1.75;0
236.58;282.07;120%;1.89;0
245.87;296.01;121%;1.80;0
244.98;293.05;120%;1.73;0
247.10;295.80;120%;1.84;0
248.21;296.34;120%;1.78;0
227.80;271.39;120%;2.20;0
228.14;273.21;120%;2.35;0
243.64;290.34;119%;1.97;0
249.65;298.61;120%;1.86;0
251.95;300.24;119%;1.96;0
250.63;298.40;119%;1.88;0
242.55;291.71;120%;1.70;0
245.88;290.86;119%;2.06;0
227.48;279.37;123%;1.66;0
246.20;290.79;119%;2.23;0
244.56;291.51;119%;1.91;0
236.76;283.10;120%;1.80;0
243.29;291.19;120%;1.99;0
257.23;303.24;118%;2.11;0
245.15;292.96;120%;2.07;0
250.10;293.86;118%;2.05;0
239.22;286.26;120%;1.67;0
224.48;271.39;121%;2.06;0
233.91;282.16;121%;1.94;0
243.39;290.72;120%;1.72;0
253.87;299.65;118%;2.19;0
247.16;292.76;119%;2.73;0
252.40;301.62;120%;1.82;0
246.60;292.71;119%;1.78;0
251.53;302.50;120%;1.72;0
241.50;289.89;120%;1.83;0
245.38;291.91;119%;1.85;0
243.37;288.51;119%;1.93;0
265.61;313.42;118%;1.87;0
251.56;300.19;119%;1.63;0
246.22;297.10;121%;1.87;0
244.52;291.64;119%;1.76;0
243.61;289.04;119%;1.97;0
245.43;291.89;119%;1.81;0
245.10;293.72;120%;1.96;0
252.51;299.50;119%;2.21;0
254.97;307.02;121%;1.78;0
248.29;297.87;120%;1.63;0
248.81;296.24;119%;1.94;0
246.08;291.24;119%;2.00;0
254.28;302.27;119%;1.63;0
246.57;296.73;121%;1.94;0
247.20;295.03;120%;1.72;0
231.59;279.51;121%;2.06;0
