Real	User	CPU%	System	Exit
1.2	2.22	188%	0.04	0
1.2	2.24	192%	0.05	0
1.67	2.26	139%	0.07	0
2.46	2.23	93%	0.06	0
1.86	2.23	122%	0.04	0
1.15	2.23	200%	0.07	0
1.14	2.23	201%	0.07	0
1.16	2.25	197%	0.04	0
1.14	2.23	201%	0.07	0
1.14	2.21	198%	0.05	0
1.16	2.27	198%	0.04	0
1.15	2.22	198%	0.06	0
1.15	2.24	199%	0.06	0
1.14	2.24	199%	0.04	0
1.16	2.25	200%	0.07	0
1.15	2.2	198%	0.08	0
1.15	2.19	195%	0.06	0
1.16	2.2	198%	0.1	0
1.14	2.23	200%	0.05	0
1.14	2.18	197%	0.07	0
1.14	2.23	200%	0.06	0
1.14	2.23	201%	0.07	0
1.15	2.27	199%	0.03	0
1.17	2.28	201%	0.07	0
1.14	2.2	199%	0.07	0
1.15	2.22	199%	0.07	0
1.14	2.21	197%	0.05	0
1.14	2.23	199%	0.05	0
1.15	2.24	199%	0.05	0
1.14	2.21	197%	0.04	0
1.14	2.19	197%	0.06	0
1.14	2.19	196%	0.06	0
1.15	2.25	201%	0.06	0
1.14	2.22	199%	0.05	0
1.15	2.23	197%	0.04	0
1.14	2.23	198%	0.03	0
1.14	2.25	200%	0.05	0
1.15	2.26	201%	0.05	0
1.15	2.27	201%	0.04	0
1.15	2.22	198%	0.07	0
1.18	2.26	200%	0.09	0
1.14	2.21	199%	0.06	0
1.15	2.19	196%	0.06	0
1.15	2.25	201%	0.07	0
1.15	2.24	201%	0.07	0
1.16	2.25	196%	0.02	0
1.14	2.26	202%	0.06	0
1.15	2.22	199%	0.08	0
1.14	2.22	199%	0.05	0
1.17	2.24	197%	0.06	0
1.15	2.22	199%	0.07	0
1.15	2.24	201%	0.08	0
1.15	2.25	197%	0.02	0
1.15	2.24	200%	0.06	0
1.15	2.18	197%	0.09	0
1.16	2.25	201%	0.09	0
1.15	2.27	200%	0.04	0
1.15	2.25	198%	0.04	0
1.14	2.23	200%	0.06	0
1.17	2.25	197%	0.06	0
1.14	2.24	201%	0.05	0
1.15	2.23	199%	0.05	0
1.16	2.26	200%	0.06	0
1.15	2.23	198%	0.04	0
1.15	2.26	200%	0.05	0
1.15	2.24	199%	0.05	0
1.15	2.25	199%	0.03	0
1.15	2.23	199%	0.06	0
1.14	2.22	200%	0.07	0
1.15	2.22	198%	0.06	0
1.16	2.22	200%	0.11	0
1.14	2.21	199%	0.05	0
1.14	2.21	198%	0.07	0
1.17	2.23	198%	0.08	0
1.17	2.23	199%	0.1	0
1.15	2.21	197%	0.06	0
1.14	2.22	199%	0.06	0
1.14	2.23	202%	0.08	0
1.17	2.27	198%	0.04	0
1.15	2.22	198%	0.06	0
1.15	2.25	200%	0.05	0
1.14	2.22	197%	0.04	0
1.15	2.26	199%	0.04	0
1.14	2.23	200%	0.05	0
1.14	2.24	201%	0.06	0
1.14	2.2	196%	0.04	0
1.17	2.23	198%	0.08	0
1.15	2.27	200%	0.04	0
1.14	2.21	198%	0.06	0
1.14	2.23	201%	0.08	0
1.16	2.25	200%	0.06	0
1.14	2.21	201%	0.1	0
1.14	2.22	200%	0.06	0
1.15	2.24	201%	0.09	0
1.16	2.25	199%	0.08	0
1.16	2.23	197%	0.07	0
1.15	2.27	200%	0.04	0
1.15	4000	199%	0.08	0
1.14	2.23	200%	0.06	0
1.15	2.24	199%	0.06	0
