Real;User;CPU%;System;Exit
1.41;2.30;177%;0.21;0
1.61;2.35;161%;0.25;0
1.39;2.26;176%;0.20;0
1.39;2.29;174%;0.15;0
1.62;2.38;158%;0.19;0
1.42;2.27;175%;0.22;0
1.34;2.24;184%;0.23;0
1.34;2.31;186%;0.19;0
1.37;2.35;185%;0.19;0
1.35;2.31;187%;0.22;0
1.33;2.21;183%;0.22;0
1.33;2.22;185%;0.24;0
1.33;2.27;184%;0.19;0
1.33;2.25;188%;0.25;0
1.33;2.22;184%;0.23;0
1.33;2.32;183%;0.12;0
1.35;2.30;185%;0.21;0
1.33;2.22;183%;0.21;0
1.33;2.24;184%;0.20;0
1.33;2.31;187%;0.19;0
1.35;2.26;182%;0.22;0
1.34;2.31;186%;0.19;0
1.33;2.25;184%;0.19;0
1.35;2.28;184%;0.21;0
1.34;2.30;186%;0.19;0
1.34;2.23;183%;0.23;0
1.34;2.35;189%;0.18;0
1.34;2.25;186%;0.23;0
1.34;2.31;186%;0.20;0
1.32;2.25;184%;0.19;0
1.33;2.29;186%;0.20;0
1.33;2.24;186%;0.24;0
1.33;2.29;185%;0.17;0
1.33;2.25;184%;0.20;0
1.34;2.31;185%;0.17;0
1.32;2.25;187%;0.22;0
1.34;2.24;184%;0.24;0
1.33;2.21;182%;0.21;0
1.33;2.28;183%;0.16;0
1.34;2.26;183%;0.19;0
1.33;2.28;189%;0.24;0
1.34;2.29;184%;0.18;0
1.33;2.25;189%;0.27;0
1.33;2.28;184%;0.18;0
1.32;2.24;183%;0.17;0
1.33;2.28;184%;0.18;0
1.33;2.21;183%;0.22;0
1.34;2.28;185%;0.21;0
1.33;2.21;184%;0.24;0
1.34;2.31;186%;0.18;0
1.33;2.31;187%;0.18;0
1.34;2.27;183%;0.18;0
1.34;2.31;187%;0.19;0
1.33;2.31;186%;0.18;0
1.33;2.25;184%;0.22;0
1.33;2.25;184%;0.20;0
1.34;2.28;182%;0.18;0
1.33;2.29;189%;0.22;0
1.33;2.20;183%;0.24;0
1.33;2.25;183%;0.19;0
1.35;2.26;184%;0.23;0
1.33;2.23;183%;0.21;0
1.33;2.26;186%;0.21;0
1.33;2.26;184%;0.19;0
1.35;2.27;185%;0.23;0
1.34;2.33;185%;0.15;0
1.39;2.33;180%;0.17;0
1.38;2.35;184%;0.21;0
1.36;2.24;181%;0.23;0
1.37;2.25;179%;0.20;0
1.33;2.23;183%;0.22;0
1.36;2.33;183%;0.16;0
1.34;2.24;185%;0.24;0
1.39;2.27;178%;0.21;0
1.33;2.23;183%;0.21;0
1.32;2.23;184%;0.21;0
1.34;2.26;184%;0.21;0
1.34;2.25;182%;0.20;0
1.33;2.33;185%;0.15;0
1.34;2.32;187%;0.18;0
1.33;2.19;183%;0.25;0
1.35;2.27;183%;0.19;0
1.37;2.28;181%;0.20;0
1.34;2.25;184%;0.22;0
1.33;2.23;182%;0.20;0
1.34;2.32;186%;0.19;0
1.34;2.31;185%;0.18;0
1.34;2.22;185%;0.27;0
1.34;2.33;187%;0.17;0
1.33;2.28;186%;0.20;0
1.35;2.29;185%;0.22;0
1.33;2.24;184%;0.21;0
1.35;2.33;187%;0.20;0
1.34;2.26;188%;0.26;0
1.34;2.27;185%;0.20;0
1.34;2.31;187%;0.21;0
1.34;2.21;183%;0.25;0
1.34;2.30;186%;0.20;0
1.34;2.27;188%;0.25;0
1.32;2.27;186%;0.20;0
1.35;2.36;187%;0.16;0
1.33;2.26;186%;0.22;0
1.33;2.20;183%;0.25;0
1.33;2.24;184%;0.22;0
1.34;2.29;184%;0.18;0
