Real;User;CPU%;System;Exit
3.58;8.37;239%;0.19;0
7.22;14.73;209%;0.40;0
2.65;6.15;236%;0.13;0
2.70;6.32;237%;0.11;0
3.53;8.18;237%;0.21;0
4.01;8.91;228%;0.26;0
2.14;5.08;242%;0.10;0
3.52;8.23;239%;0.19;0
3.97;9.15;234%;0.16;0
2.66;5.88;226%;0.14;0
4.44;9.64;221%;0.16;0
2.13;5.11;243%;0.10;0
4.96;10.47;215%;0.21;0
5.06;10.77;218%;0.27;0
2.12;5.03;243%;0.13;0
2.10;4.97;240%;0.08;0
4.45;9.74;222%;0.14;0
4.08;9.36;234%;0.20;0
6.52;14.17;222%;0.32;0
7.33;14.91;209%;0.41;0
2.08;4.92;240%;0.08;0
3.61;8.47;240%;0.19;0
6.48;13.81;220%;0.48;0
2.10;4.96;240%;0.10;0
4.49;9.92;224%;0.16;0
2.16;5.16;247%;0.18;0
2.13;5.06;242%;0.10;0
2.11;4.97;240%;0.10;0
5.51;11.00;204%;0.25;0
4.16;9.50;234%;0.26;0
2.12;5.03;242%;0.12;0
3.52;8.12;234%;0.14;0
2.65;6.04;231%;0.12;0
7.42;15.13;208%;0.36;0
2.65;6.00;232%;0.14;0
2.12;5.09;245%;0.11;0
4.52;10.22;229%;0.15;0
4.48;9.71;221%;0.22;0
2.13;5.01;241%;0.14;0
2.77;6.40;237%;0.18;0
4.60;10.16;225%;0.21;0
3.94;8.89;231%;0.23;0
2.75;6.55;243%;0.14;0
4.50;9.72;221%;0.25;0
3.52;8.20;236%;0.14;0
2.93;7.12;248%;0.18;0
2.70;6.30;239%;0.18;0
7.84;15.53;202%;0.35;0
7.24;14.43;205%;0.46;0
2.76;6.53;242%;0.18;0
5.84;11.50;201%;0.28;0
4.49;9.90;225%;0.19;0
3.52;8.24;240%;0.22;0
2.69;6.09;230%;0.13;0
6.54;14.06;220%;0.35;0
2.11;4.92;238%;0.11;0
5.07;10.66;216%;0.30;0
2.73;6.29;238%;0.20;0
2.13;4.93;237%;0.13;0
3.59;8.37;238%;0.21;0
2.68;6.24;236%;0.11;0
4.07;9.41;235%;0.15;0
4.94;10.20;212%;0.29;0
2.68;6.15;232%;0.10;0
2.69;6.07;229%;0.12;0
2.71;6.33;240%;0.19;0
2.72;6.24;233%;0.13;0
3.59;8.25;235%;0.19;0
4.44;9.61;221%;0.23;0
6.80;14.14;214%;0.44;0
9.21;17.84;199%;0.55;0
2.15;5.16;245%;0.12;0
2.09;4.82;239%;0.19;0
2.71;6.02;228%;0.19;0
5.38;10.93;208%;0.28;0
4.39;9.36;218%;0.24;0
3.96;8.81;227%;0.19;0
6.85;14.35;214%;0.35;0
3.14;6.78;221%;0.16;0
3.66;8.90;247%;0.16;0
2.14;5.15;244%;0.08;0
2.72;6.27;236%;0.17;0
2.70;6.19;235%;0.17;0
4.09;9.63;239%;0.17;0
2.13;5.01;242%;0.15;0
4.02;9.13;232%;0.23;0
4.08;9.31;232%;0.18;0
3.57;8.37;239%;0.21;0
3.47;8.12;237%;0.12;0
2.74;6.40;237%;0.12;0
3.59;8.49;242%;0.20;0
2.17;5.26;246%;0.09;0
2.14;5.17;247%;0.12;0
3.50;8.08;235%;0.16;0
5.90;12.07;209%;0.29;0
2.67;6.14;234%;0.13;0
2.14;5.08;242%;0.13;0
6.84;13.25;197%;0.30;0
2.67;6.07;232%;0.15;0
2.10;4.90;240%;0.15;0
