Real;User;CPU%;System;Exit
1.91;3.88;218%;0.30;0
1.87;3.91;224%;0.29;0
1.88;3.90;218%;0.21;0
1.91;3.97;219%;0.23;0
1.88;3.86;219%;0.27;0
1.84;3.80;219%;0.24;0
1.87;3.87;217%;0.20;0
1.87;3.84;217%;0.23;0
1.88;3.86;219%;0.27;0
1.88;3.92;218%;0.19;0
1.86;3.92;223%;0.23;0
1.90;3.85;216%;0.27;0
1.81;3.70;217%;0.24;0
1.87;3.88;218%;0.21;0
1.91;3.94;218%;0.23;0
1.87;3.86;220%;0.25;0
1.89;3.89;219%;0.25;0
1.90;4.03;223%;0.21;0
1.91;3.98;220%;0.23;0
1.86;3.84;218%;0.24;0
1.85;3.77;217%;0.26;0
1.87;3.79;216%;0.25;0
1.88;3.91;220%;0.22;0
1.87;3.89;219%;0.23;0
1.90;3.97;220%;0.22;0
1.87;3.88;219%;0.21;0
1.86;3.91;221%;0.21;0
1.88;3.85;219%;0.27;0
1.88;3.86;218%;0.24;0
1.88;3.87;218%;0.25;0
1.87;3.87;217%;0.21;0
1.86;3.73;218%;0.34;0
1.86;3.89;221%;0.22;0
1.89;3.94;220%;0.22;0
1.88;3.86;219%;0.26;0
1.88;3.79;217%;0.30;0
1.83;3.73;221%;0.32;0
1.88;3.82;218%;0.28;0
1.85;3.76;216%;0.25;0
1.86;3.89;219%;0.21;0
1.86;3.82;221%;0.30;0
1.87;3.85;218%;0.23;0
1.87;3.85;220%;0.28;0
1.83;3.86;220%;0.17;0
1.92;3.95;217%;0.23;0
1.87;3.93;220%;0.20;0
1.87;3.82;217%;0.24;0
1.87;3.92;221%;0.24;0
1.87;3.88;221%;0.26;0
1.87;3.84;217%;0.22;0
1.87;3.81;216%;0.22;0
1.81;3.69;219%;0.30;0
1.86;3.90;222%;0.23;0
1.92;4.13;224%;0.18;0
1.87;3.86;217%;0.20;0
1.82;3.82;220%;0.20;0
1.86;3.91;222%;0.23;0
1.85;3.78;218%;0.27;0
1.88;3.91;218%;0.19;0
1.92;3.96;218%;0.23;0
1.84;3.80;219%;0.24;0
1.88;3.79;215%;0.26;0
1.83;3.75;218%;0.27;0
1.89;3.91;219%;0.23;0
1.89;3.99;220%;0.18;0
1.88;3.89;218%;0.22;0
1.87;3.83;217%;0.24;0
1.87;3.90;220%;0.23;0
1.89;4.00;223%;0.23;0
1.88;3.86;218%;0.24;0
1.87;3.93;221%;0.21;0
1.88;3.86;219%;0.27;0
1.85;3.86;220%;0.23;0
1.86;3.83;217%;0.21;0
1.87;4.02;221%;0.14;0
1.90;3.92;218%;0.23;0
1.88;3.85;217%;0.24;0
1.88;3.96;220%;0.19;0
1.92;3.95;219%;0.26;0
1.86;3.85;218%;0.23;0
1.87;3.91;221%;0.24;0
1.87;3.92;222%;0.23;0
1.86;3.85;218%;0.22;0
1.87;3.92;221%;0.21;0
1.88;3.93;220%;0.21;0
1.87;3.93;219%;0.17;0
1.86;3.86;220%;0.24;0
1.89;3.98;222%;0.22;0
1.86;3.88;218%;0.19;0
1.85;3.89;222%;0.23;0
1.89;3.93;219%;0.22;0
1.91;3.91;217%;0.25;0
1.89;3.89;220%;0.28;0
1.89;3.89;217%;0.22;0
1.86;3.97;223%;0.19;0
1.85;3.81;220%;0.27;0
1.86;3.77;217%;0.26;0
1.94;4.04;220%;0.24;0
1.87;3.99;223%;0.18;0
1.85;3.84;219%;0.22;0
