Real;User;CPU%;System;Exit
23.06;32.25;142%;0.57;0
72.17;97.89;137%;1.60;0
298.00;394.45;133%;4.28;0
393.39;553.08;141%;4.41;0
95.72;119.76;127%;2.25;0
273.79;367.82;135%;3.95;0
887.66;1500.90;169%;6.46;42
267.69;355.03;134%;4.19;0
193.52;256.13;134%;3.95;0
169.54;218.68;131%;3.47;0
122.49;161.51;133%;2.24;0
168.50;217.15;131%;3.88;0
146.05;182.61;127%;3.46;0
896.65;1510.24;169%;5.26;42
547.42;763.51;140%;5.50;0
679.97;987.11;145%;5.47;0
880.67;1524.32;173%;5.79;42
586.13;861.89;147%;5.18;0
225.97;306.95;137%;3.43;0
135.93;172.07;128%;2.95;0
123.93;161.87;132%;2.51;0
151.69;187.78;125%;3.30;0
825.07;1504.77;183%;6.93;42
381.86;539.03;142%;4.63;0
75.96;102.71;137%;1.82;0
157.22;203.80;131%;3.24;0
99.67;130.94;133%;2.15;0
689.64;1013.53;147%;4.80;0
76.25;100.64;134%;1.77;0
457.38;639.77;140%;5.00;0
943.00;1851.41;197%;7.10;42
793.23;1252.19;158%;5.59;0
94.35;118.09;127%;2.34;0
965.56;1893.57;196%;6.82;42
50.66;67.74;136%;1.35;0
883.67;1550.41;176%;5.55;42
24.98;34.62;141%;0.69;0
358.53;480.97;135%;4.44;0
180.78;235.14;131%;3.24;0
124.89;159.02;129%;3.03;0
928.11;1773.83;191%;6.50;42
542.97;740.61;137%;5.47;0
123.14;153.22;126%;2.64;0
72.94;94.03;131%;1.81;0
141.93;179.25;128%;3.02;0
256.52;350.14;138%;4.53;0
896.31;1558.07;174%;6.24;42
587.84;828.75;141%;4.99;0
389.07;542.20;140%;4.27;0
666.51;948.84;143%;6.25;0
120.93;158.39;133%;2.86;0
525.95;757.84;144%;4.75;0
146.65;191.36;132%;3.16;0
49.60;64.17;131%;1.11;0
147.85;193.92;132%;2.58;0
325.18;446.45;138%;4.62;0
885.19;1561.13;177%;5.81;42
148.44;198.91;136%;3.58;0
25.10;34.31;139%;0.66;0
165.89;205.22;126%;3.94;0
48.95;66.23;137%;0.91;0
68.28;95.39;141%;1.52;0
23.64;32.44;139%;0.64;0
364.43;496.40;137%;4.56;0
874.75;1474.32;169%;6.61;42
891.56;1562.57;176%;6.92;42
122.02;157.10;130%;2.66;0
180.70;233.71;131%;3.74;0
25.28;34.18;137%;0.69;0
235.29;326.38;140%;3.27;0
89.92;114.10;129%;1.97;0
422.35;594.69;142%;5.51;0
431.74;602.11;140%;4.38;0
135.69;172.92;129%;3.22;0
75.34;98.54;132%;1.47;0
299.95;401.58;135%;4.22;0
866.45;1556.35;180%;6.35;42
559.26;819.29;147%;5.75;0
124.34;163.68;133%;2.39;0
314.98;411.79;132%;4.35;0
510.26;739.05;145%;4.32;0
888.97;1574.95;177%;6.33;0
219.48;280.35;129%;3.49;0
144.75;186.73;130%;2.87;0
456.06;623.38;137%;5.35;0
516.19;751.28;146%;5.91;0
344.99;471.56;137%;3.72;0
830.52;1482.97;179%;6.14;0
123.93;159.31;130%;2.87;0
90.48;115.15;129%;2.19;0
123.26;158.78;130%;2.69;0
606.61;883.85;146%;4.76;0
380.61;537.70;142%;4.61;0
335.78;464.85;139%;3.80;0
902.80;1590.76;176%;6.73;42
507.21;724.20;143%;4.79;0
685.80;977.77;143%;5.63;0
691.02;1065.49;155%;6.28;0
703.57;1022.90;146%;5.46;0
636.24;904.58;142%;4.72;0
