4.37;9.74;228%;0.24;0
4.90;10.62;223%;0.30;0
5.43;11.51;216%;0.28;0
2.34;5.63;244%;0.10;0
10.63;19.76;192%;0.71;42
10.73;20.65;197%;0.58;42
10.78;19.91;189%;0.58;42
5.96;11.86;204%;0.34;0
6.39;12.42;200%;0.41;0
5.72;11.37;205%;0.37;0
10.60;19.74;192%;0.65;42
4.33;9.79;230%;0.19;0
10.37;19.29;190%;0.51;42
10.55;19.70;193%;0.68;42
11.11;20.21;186%;0.54;42
5.62;11.71;214%;0.35;0
10.42;19.30;191%;0.65;42
4.39;10.00;233%;0.25;0
10.52;19.83;194%;0.59;42
10.91;20.16;190%;0.60;42
3.70;8.58;235%;0.14;0
10.46;19.27;188%;0.49;42
9.93;18.74;192%;0.39;0
8.17;14.73;184%;0.35;0
10.78;19.72;187%;0.54;42
3.30;8.01;248%;0.21;0
5.33;10.94;212%;0.37;0
10.67;19.74;190%;0.62;42
6.10;12.14;204%;0.35;0
7.93;16.12;208%;0.45;0
3.30;8.21;254%;0.20;0
10.64;20.17;194%;0.55;42
8.88;17.25;199%;0.50;0
6.50;12.53;197%;0.28;0
10.89;20.49;194%;0.70;42
8.04;16.46;210%;0.47;0
8.25;16.96;211%;0.46;0
3.85;8.69;230%;0.20;0
10.50;19.07;186%;0.48;42
10.42;19.58;193%;0.53;0
11.03;20.93;193%;0.46;42
10.78;19.59;188%;0.71;42
10.81;19.59;185%;0.45;42
5.91;12.05;209%;0.33;0
3.37;8.37;254%;0.21;0
10.94;20.18;189%;0.60;42
10.10;19.39;197%;0.59;0
8.66;17.38;206%;0.49;0
7.50;14.00;190%;0.31;0
10.42;19.41;191%;0.59;42
6.77;13.16;198%;0.31;0
10.59;19.74;191%;0.54;42
3.24;7.89;247%;0.12;0
10.69;19.72;190%;0.60;42
8.81;17.27;200%;0.43;0
10.96;20.54;192%;0.59;42
10.64;19.66;190%;0.61;42
8.60;17.16;205%;0.46;0
8.54;17.08;206%;0.51;0
10.62;19.43;189%;0.67;42
10.85;20.39;192%;0.52;42
5.25;10.84;211%;0.28;0
10.77;20.09;191%;0.59;42
3.27;8.17;256%;0.22;0
10.59;19.63;191%;0.66;42
3.38;8.28;250%;0.18;0
7.70;14.36;193%;0.53;0
10.66;20.08;194%;0.69;42
10.39;19.30;190%;0.46;42
4.41;10.11;233%;0.17;0
8.35;16.86;205%;0.33;0
10.58;19.78;192%;0.61;42
3.19;7.97;255%;0.18;0
4.25;9.31;224%;0.21;0
10.73;19.71;189%;0.61;42
6.48;12.60;201%;0.44;0
10.69;19.85;191%;0.60;42
10.92;20.05;189%;0.62;42
10.58;20.08;194%;0.49;0
5.33;11.12;215%;0.38;0
10.55;19.75;193%;0.65;42
8.49;17.06;206%;0.43;0
4.30;9.59;227%;0.21;0
9.50;18.25;197%;0.54;0
7.18;13.62;195%;0.43;0
7.93;15.88;205%;0.39;0
11.05;20.30;188%;0.49;0
10.87;19.88;188%;0.65;42
10.80;20.58;196%;0.66;42
10.63;19.18;184%;0.45;42
5.31;11.17;215%;0.28;0
2.27;5.56;248%;0.08;0
10.82;19.79;188%;0.60;42
2.27;5.48;245%;0.10;0
6.08;12.18;206%;0.36;0
4.87;10.69;223%;0.22;0
6.82;13.25;199%;0.38;0
10.67;20.08;194%;0.67;42
5.37;11.20;212%;0.22;0
6.87;13.26;197%;0.32;0
