Real;User;CPU%;System;Exit
12.60;23.40;191%;0.78;42
13.23;23.03;179%;0.74;42
12.69;23.74;191%;0.58;42
11.12;21.00;194%;0.66;42
11.29;21.17;192%;0.61;42
11.72;22.74;199%;0.68;42
11.37;20.30;185%;0.82;42
12.72;23.07;186%;0.64;42
11.81;21.87;191%;0.70;42
11.39;21.62;195%;0.64;42
4.24;9.81;237%;0.25;0
11.81;22.74;198%;0.65;42
11.28;21.68;197%;0.63;42
12.16;23.07;195%;0.65;42
12.33;22.56;189%;0.75;42
11.53;21.46;191%;0.67;42
5.19;11.45;225%;0.24;0
5.75;12.05;213%;0.26;0
8.40;15.98;196%;0.48;0
11.70;22.56;198%;0.62;42
11.17;20.76;192%;0.72;42
12.64;23.10;187%;0.63;42
12.74;23.46;189%;0.64;42
11.06;19.94;187%;0.78;42
11.30;21.38;194%;0.60;42
11.85;22.11;192%;0.63;42
5.67;11.41;206%;0.28;0
4.74;10.41;225%;0.27;0
4.79;10.49;224%;0.27;0
11.89;22.81;196%;0.55;42
12.62;23.78;193%;0.60;42
12.69;22.81;184%;0.64;42
11.40;22.04;199%;0.71;42
5.26;11.34;220%;0.26;0
11.64;21.68;191%;0.63;42
13.21;23.23;180%;0.64;42
11.39;21.28;192%;0.62;42
12.51;23.38;193%;0.77;42
5.17;11.04;218%;0.23;0
5.21;11.54;225%;0.22;0
13.37;23.82;184%;0.85;42
12.94;24.62;194%;0.58;42
12.17;22.36;190%;0.81;42
11.03;20.63;193%;0.73;42
11.38;21.26;193%;0.71;42
11.60;22.03;194%;0.55;42
12.97;23.31;185%;0.73;42
11.13;20.56;190%;0.61;42
11.31;20.46;186%;0.58;42
11.01;20.61;193%;0.66;42
4.17;9.32;229%;0.24;0
11.61;21.98;194%;0.57;42
10.98;20.57;193%;0.71;42
10.95;20.37;193%;0.77;42
12.35;23.52;197%;0.85;42
13.08;24.43;191%;0.65;42
13.88;25.02;184%;0.61;0
3.91;9.35;245%;0.25;0
12.17;23.21;195%;0.64;42
6.31;12.67;205%;0.27;0
12.88;26.15;207%;0.62;42
11.22;21.25;195%;0.66;42
12.24;22.36;187%;0.64;42
11.89;22.30;191%;0.51;42
5.72;12.20;216%;0.19;0
10.49;20.50;202%;0.69;0
6.64;12.92;200%;0.37;0
6.69;13.67;209%;0.36;0
7.18;14.47;208%;0.48;0
8.81;15.82;184%;0.44;0
11.05;20.98;197%;0.83;42
11.30;21.57;196%;0.60;42
12.28;22.73;190%;0.72;42
11.18;21.37;196%;0.60;42
12.77;24.00;193%;0.70;42
11.27;21.32;195%;0.76;42
11.78;22.45;196%;0.65;42
8.10;15.22;192%;0.41;0
11.49;21.97;195%;0.54;42
11.24;21.95;200%;0.62;42
7.36;14.97;208%;0.36;0
13.11;24.12;189%;0.67;42
14.07;24.69;181%;0.84;42
11.79;22.00;192%;0.70;42
11.46;22.07;198%;0.71;42
11.93;22.89;196%;0.60;42
11.27;20.79;191%;0.73;42
11.56;22.25;198%;0.65;42
11.35;21.44;195%;0.70;42
12.47;23.12;190%;0.68;42
6.15;12.75;213%;0.36;0
11.60;21.66;192%;0.72;42
5.88;12.41;215%;0.26;0
11.24;21.09;193%;0.66;42
8.01;15.87;203%;0.41;0
11.54;21.79;194%;0.62;42
11.38;21.25;193%;0.77;42
11.28;21.93;199%;0.57;42
9.79;19.56;206%;0.63;0
11.26;21.80;200%;0.76;42
