Real;User;CPU%;System;Exit
1.68;3.27;211%;0.29;0
1.70;3.32;208%;0.23;0
1.67;3.29;210%;0.22;0
1.66;3.22;207%;0.24;0
1.67;3.22;208%;0.26;0
1.70;3.31;209%;0.24;0
1.68;3.24;207%;0.25;0
1.67;3.23;206%;0.23;0
1.67;3.26;208%;0.21;0
1.67;3.26;210%;0.25;0
1.68;3.34;208%;0.16;0
1.66;3.28;209%;0.21;0
1.67;3.32;211%;0.22;0
1.68;3.31;208%;0.20;0
1.66;3.18;207%;0.27;0
1.67;3.29;208%;0.19;0
1.67;3.25;207%;0.21;0
1.68;3.25;208%;0.25;0
1.67;3.22;207%;0.25;0
1.67;3.30;210%;0.20;0
1.67;3.23;209%;0.26;0
1.68;3.32;208%;0.18;0
1.68;3.28;208%;0.23;0
1.67;3.28;210%;0.23;0
1.69;3.27;208%;0.25;0
1.66;3.19;208%;0.25;0
1.66;3.19;207%;0.24;0
1.67;3.27;209%;0.23;0
1.65;3.20;209%;0.25;0
1.68;3.25;206%;0.22;0
1.66;3.23;208%;0.23;0
1.68;3.31;209%;0.22;0
1.68;3.28;209%;0.24;0
1.68;3.24;207%;0.23;0
1.68;3.29;208%;0.21;0
1.68;3.31;209%;0.21;0
1.67;3.20;207%;0.26;0
1.68;3.28;208%;0.21;0
1.65;3.16;207%;0.26;0
1.67;3.25;209%;0.24;0
1.67;3.20;206%;0.24;0
1.69;3.31;209%;0.22;0
1.67;3.28;210%;0.24;0
1.67;3.34;212%;0.22;0
1.67;3.25;209%;0.27;0
1.68;3.25;209%;0.27;0
1.66;3.24;208%;0.23;0
1.66;3.21;207%;0.22;0
1.67;3.27;208%;0.21;0
1.67;3.37;210%;0.15;0
1.67;3.26;209%;0.24;0
1.68;3.28;208%;0.23;0
1.66;3.26;208%;0.21;0
1.67;3.31;207%;0.16;0
1.66;3.27;209%;0.21;0
1.68;3.34;208%;0.15;0
1.67;3.23;208%;0.25;0
1.66;3.29;209%;0.20;0
1.67;3.30;210%;0.22;0
1.67;3.18;209%;0.31;0
1.67;3.27;208%;0.21;0
1.66;3.30;210%;0.19;0
1.67;3.25;208%;0.24;0
1.66;3.24;208%;0.22;0
1.65;3.25;211%;0.24;0
1.67;3.19;206%;0.26;0
1.67;3.26;208%;0.22;0
1.67;3.21;207%;0.25;0
1.66;3.25;211%;0.27;0
1.66;3.32;212%;0.22;0
1.67;3.27;209%;0.24;0
1.67;3.27;209%;0.22;0
1.68;3.26;210%;0.27;0
1.68;3.32;208%;0.17;0
1.67;3.27;211%;0.27;0
1.66;3.28;209%;0.20;0
1.68;3.26;209%;0.25;0
1.67;3.29;208%;0.19;0
1.68;3.28;209%;0.25;0
1.67;3.24;208%;0.23;0
1.68;3.29;211%;0.26;0
1.67;3.30;209%;0.21;0
1.68;3.25;208%;0.27;0
1.66;3.21;207%;0.22;0
1.68;3.25;207%;0.23;0
1.69;3.37;209%;0.16;0
1.67;3.25;207%;0.21;0
1.69;3.23;208%;0.28;0
1.68;3.30;210%;0.25;0
1.68;3.29;208%;0.21;0
1.65;3.27;210%;0.20;0
1.67;3.30;210%;0.20;0
1.68;3.23;207%;0.24;0
1.67;3.17;205%;0.28;0
1.67;3.29;212%;0.25;0
1.68;3.28;208%;0.23;0
1.66;3.25;207%;0.21;0
1.68;3.26;208%;0.24;0
1.68;3.27;211%;0.28;0
1.67;3.27;208%;0.22;0
