Real;User;CPU%;System;Exit
1.28;2.38;192%;0.08;0
1.27;2.54;205%;0.07;0
1.18;2.37;204%;0.06;0
1.31;2.74;212%;0.03;0
1.18;2.39;207%;0.06;0
1.20;2.37;203%;0.07;0
1.19;2.35;203%;0.07;0
1.19;2.38;205%;0.08;0
1.19;2.36;205%;0.08;0
1.19;2.35;203%;0.06;0
1.19;2.34;202%;0.08;0
1.20;2.38;203%;0.06;0
1.29;2.69;215%;0.09;0
1.27;2.59;208%;0.05;0
1.30;2.67;211%;0.10;0
1.19;2.37;205%;0.06;0
1.19;2.39;206%;0.06;0
1.19;2.35;204%;0.10;0
1.19;2.39;205%;0.06;0
1.24;2.53;208%;0.05;0
1.29;2.69;212%;0.06;0
1.29;2.64;212%;0.10;0
1.25;2.52;207%;0.07;0
1.26;2.52;208%;0.11;0
1.19;2.35;203%;0.08;0
1.30;2.69;213%;0.09;0
1.19;2.36;204%;0.07;0
1.26;2.59;209%;0.05;0
1.19;2.37;205%;0.07;0
1.30;2.69;214%;0.09;0
1.19;2.34;203%;0.08;0
1.19;2.36;204%;0.09;0
1.25;2.55;209%;0.07;0
1.20;2.38;204%;0.07;0
1.37;3.01;223%;0.07;0
1.18;2.40;206%;0.04;0
1.24;2.55;209%;0.06;0
1.19;2.35;204%;0.09;0
1.28;2.63;213%;0.10;0
1.29;2.65;211%;0.08;0
1.25;2.54;208%;0.08;0
1.25;2.53;209%;0.09;0
1.37;2.96;221%;0.07;42
1.38;3.00;223%;0.08;0
1.19;2.40;205%;0.06;0
1.37;2.88;217%;0.09;0
1.36;2.97;221%;0.06;42
1.25;2.54;208%;0.06;0
1.36;2.93;219%;0.05;42
1.40;3.08;224%;0.07;0
1.30;2.74;216%;0.07;0
1.19;2.42;206%;0.03;0
1.21;2.37;200%;0.06;0
1.27;2.60;207%;0.05;0
1.28;2.56;205%;0.07;0
1.21;2.41;204%;0.05;0
1.27;2.58;208%;0.08;0
1.26;2.56;207%;0.06;0
1.21;2.37;203%;0.10;0
1.21;2.42;204%;0.05;0
1.18;2.33;205%;0.10;0
1.21;2.40;203%;0.06;0
1.36;2.95;223%;0.11;42
1.25;2.55;209%;0.07;0
1.27;2.65;211%;0.04;0
1.20;2.39;205%;0.09;0
1.23;2.45;204%;0.06;0
1.19;2.36;204%;0.07;0
1.24;2.51;207%;0.06;0
1.29;2.73;214%;0.06;0
1.34;2.85;219%;0.08;0
1.29;2.71;215%;0.07;0
1.19;2.36;204%;0.08;0
1.26;2.61;211%;0.05;0
1.29;2.70;215%;0.09;0
1.25;2.54;207%;0.06;0
1.25;2.54;209%;0.07;0
1.25;2.50;205%;0.08;0
1.19;2.37;205%;0.08;0
1.28;2.71;216%;0.06;0
1.20;2.34;202%;0.08;0
1.19;2.37;204%;0.07;0
1.20;2.38;203%;0.06;0
1.36;2.95;222%;0.08;42
1.37;2.99;223%;0.07;0
1.19;2.39;206%;0.07;0
1.33;2.84;217%;0.06;0
1.20;2.37;203%;0.08;0
1.18;2.30;203%;0.10;0
1.25;2.56;209%;0.06;0
1.29;2.66;212%;0.07;0
1.29;2.70;212%;0.06;0
1.25;2.53;208%;0.07;0
1.26;2.55;207%;0.06;0
1.35;2.91;218%;0.06;0
1.34;2.86;218%;0.06;0
1.26;2.55;206%;0.05;0
1.23;2.51;209%;0.07;0
1.19;2.37;205%;0.07;0
1.23;2.51;209%;0.07;0
