Real;User;CPU%;System;Exit
272.19;404.90;150%;4.92;42
299.95;448.35;151%;5.38;42
307.72;464.38;152%;4.89;42
298.70;478.72;161%;4.86;42
276.20;424.92;155%;4.73;42
295.45;438.56;150%;4.96;42
285.70;432.10;153%;5.04;42
284.39;434.81;154%;4.95;42
285.84;447.41;157%;4.18;42
283.83;436.08;155%;4.09;42
283.14;428.42;153%;5.17;42
280.52;419.93;151%;4.30;42
291.87;453.52;157%;5.14;42
282.87;427.22;152%;4.53;42
286.70;431.57;152%;4.71;42
288.16;445.23;156%;4.94;42
275.92;439.24;161%;5.48;42
292.96;444.34;153%;5.08;42
282.05;433.12;155%;5.35;42
281.22;432.75;155%;4.76;42
290.61;443.24;154%;4.99;42
295.73;463.20;158%;4.40;42
283.28;443.97;158%;4.78;42
274.24;423.81;156%;4.82;42
284.32;432.24;153%;4.75;42
284.24;432.98;153%;4.68;42
311.40;449.40;145%;4.63;42
293.38;460.08;158%;4.95;42
276.32;423.80;155%;4.55;42
286.11;435.15;153%;3.85;42
296.31;449.02;153%;5.08;42
285.23;456.57;161%;4.80;42
286.71;439.87;155%;5.10;42
284.55;444.24;157%;4.61;42
286.98;434.56;153%;4.74;42
279.20;424.65;153%;4.48;42
293.61;446.64;153%;3.94;42
282.19;433.60;154%;3.76;42
279.72;422.40;152%;4.82;42
280.58;437.81;157%;5.22;42
296.89;468.18;159%;5.26;42
288.98;436.13;152%;5.02;42
293.73;444.37;152%;4.24;42
286.33;446.72;157%;4.55;42
296.27;461.94;157%;4.52;42
268.19;419.05;157%;4.06;42
274.07;403.08;148%;4.41;42
289.99;442.44;154%;4.78;42
278.51;423.12;153%;4.98;42
295.00;462.38;158%;4.23;42
275.48;417.88;153%;4.69;42
287.99;441.41;154%;4.30;42
292.29;455.72;157%;4.58;42
289.15;427.79;149%;4.06;42
276.55;429.95;157%;4.66;42
287.56;427.72;150%;4.39;42
275.04;418.88;153%;4.56;42
285.41;430.42;152%;5.27;42
280.11;424.78;153%;4.72;42
273.61;429.47;158%;4.63;42
289.19;437.50;152%;4.58;42
286.75;454.52;160%;4.32;42
283.90;455.47;161%;3.95;42
285.25;445.44;157%;5.05;42
284.24;431.13;153%;4.72;42
270.51;409.61;153%;5.18;42
295.68;478.96;163%;4.28;42
281.34;420.79;151%;5.33;42
290.11;452.32;157%;4.38;42
288.19;441.35;154%;4.90;42
289.37;443.44;154%;4.77;42
284.33;439.51;156%;4.29;42
288.50;437.48;153%;4.47;42
282.43;425.56;152%;4.93;42
278.64;411.08;149%;4.36;42
290.47;443.87;154%;4.66;42
280.28;442.26;159%;4.61;42
289.73;448.31;156%;4.68;42
294.97;452.39;155%;5.42;42
273.85;420.07;155%;4.60;42
290.93;472.12;163%;4.72;42
293.83;461.77;158%;4.94;42
284.83;432.76;153%;4.55;42
295.61;469.37;160%;4.23;42
276.60;414.72;151%;4.33;42
277.13;424.54;154%;4.85;42
277.07;437.48;159%;5.35;42
274.61;436.29;160%;5.27;42
289.47;458.98;160%;4.23;42
287.53;446.30;156%;4.82;42
313.78;494.77;159%;5.21;42
288.02;448.95;157%;4.29;42
287.68;447.10;157%;4.67;42
293.03;440.50;151%;4.22;42
291.64;466.39;161%;4.72;42
272.46;402.60;149%;4.51;42
280.44;433.45;155%;3.80;42
282.43;434.95;155%;4.25;42
271.80;426.82;158%;4.58;42
281.80;424.25;152%;4.55;42
