Real;User;CPU%;System;Exit
4.08;7.49;191%;0.34;0
4.14;7.77;194%;0.28;0
4.01;7.25;187%;0.26;0
4.11;7.53;190%;0.31;0
4.16;7.67;191%;0.32;0
4.45;7.77;180%;0.25;0
4.51;7.68;175%;0.26;0
4.56;7.80;178%;0.31;0
4.44;7.61;179%;0.38;0
4.47;7.77;180%;0.32;0
4.42;7.82;182%;0.26;0
4.52;7.74;178%;0.34;0
4.44;7.54;176%;0.31;0
4.41;7.57;178%;0.32;0
4.51;7.65;177%;0.34;0
4.47;7.50;175%;0.31;0
4.40;7.40;175%;0.30;0
4.52;7.68;177%;0.33;0
4.47;7.54;175%;0.31;0
4.41;7.63;179%;0.30;0
4.42;7.53;175%;0.24;0
4.56;7.94;180%;0.26;0
4.50;7.73;178%;0.27;0
4.49;7.57;174%;0.25;0
4.45;7.85;181%;0.22;0
4.47;7.48;173%;0.29;0
4.48;7.70;180%;0.37;0
4.44;7.50;177%;0.37;0
4.51;7.86;180%;0.28;0
4.44;7.66;179%;0.32;0
4.46;7.73;180%;0.34;0
4.40;7.59;179%;0.32;0
4.40;7.62;178%;0.25;0
4.45;7.56;178%;0.36;0
4.48;7.62;177%;0.35;0
4.43;7.54;177%;0.30;0
4.43;7.55;177%;0.32;0
4.52;8.00;183%;0.28;0
4.43;7.49;176%;0.32;0
4.48;7.63;177%;0.35;0
4.41;7.41;176%;0.35;0
4.53;7.78;177%;0.26;0
4.49;7.59;175%;0.30;0
4.48;7.68;177%;0.28;0
4.44;7.63;178%;0.28;0
4.42;7.52;176%;0.28;0
4.38;7.41;176%;0.30;0
4.42;7.34;172%;0.31;0
4.46;7.64;177%;0.26;0
4.50;7.66;176%;0.28;0
4.38;7.71;182%;0.26;0
4.40;7.42;175%;0.29;0
4.49;7.63;176%;0.28;0
4.50;7.54;175%;0.34;0
4.46;7.34;172%;0.33;0
4.54;7.72;177%;0.32;0
4.50;7.46;173%;0.35;0
4.48;7.51;175%;0.33;0
4.46;7.81;180%;0.26;0
4.48;7.75;180%;0.33;0
4.43;7.68;179%;0.26;0
4.44;7.38;173%;0.30;0
4.49;7.71;178%;0.31;0
4.42;7.65;179%;0.26;0
4.53;7.78;179%;0.34;0
4.55;7.90;179%;0.24;0
4.43;7.78;180%;0.22;0
4.45;7.69;179%;0.30;0
4.43;7.74;180%;0.27;0
4.46;7.73;179%;0.29;0
4.42;7.54;176%;0.26;0
4.48;7.68;178%;0.31;0
4.46;7.54;177%;0.37;0
4.51;7.86;180%;0.30;0
4.46;7.69;179%;0.30;0
4.47;7.68;178%;0.29;0
4.53;7.81;179%;0.32;0
4.49;7.70;178%;0.31;0
4.50;7.51;173%;0.32;0
4.50;7.59;176%;0.36;0
4.39;7.28;174%;0.37;0
4.42;7.46;175%;0.28;0
4.48;8.02;183%;0.23;0
4.44;7.62;178%;0.32;0
4.46;7.70;180%;0.36;0
4.54;7.74;178%;0.35;0
4.47;7.79;180%;0.25;0
4.47;7.72;179%;0.31;0
4.42;7.43;175%;0.32;0
4.48;7.52;174%;0.31;0
4.54;7.88;181%;0.38;0
4.49;7.61;177%;0.34;0
4.48;7.45;172%;0.29;0
4.46;7.68;178%;0.27;0
4.52;7.70;177%;0.30;0
4.54;7.91;179%;0.25;0
4.47;7.66;180%;0.42;0
4.53;7.70;176%;0.29;0
4.47;7.70;179%;0.34;0
4.47;7.80;181%;0.29;0
