Real;User;CPU%;System;Exit
15.24;31.56;212%;0.79;42
17.27;36.42;216%;0.95;42
11.59;25.39;224%;0.68;42
79.35;159.98;207%;4.35;42
15.63;33.81;222%;0.91;42
80.07;161.80;207%;4.44;42
15.74;34.30;224%;1.10;42
6.29;15.87;257%;0.35;0
15.26;32.64;220%;1.02;42
14.69;31.32;218%;0.71;42
25.25;48.03;197%;1.77;42
11.70;25.65;225%;0.71;42
12.11;26.25;223%;0.81;42
25.91;51.76;204%;1.23;42
12.94;27.71;219%;0.74;42
22.98;44.07;197%;1.24;42
16.15;35.64;227%;1.15;42
170.72;343.34;204%;4.96;42
11.54;25.59;227%;0.71;42
83.31;167.82;206%;4.21;42
17.82;38.14;219%;0.97;42
5.55;14.93;274%;0.30;0
16.37;35.52;223%;1.13;42
25.69;51.64;206%;1.41;42
16.28;35.72;225%;0.96;42
16.61;35.81;220%;0.89;42
74.23;136.73;189%;4.04;42
25.61;51.23;205%;1.35;42
16.54;37.76;234%;0.96;42
11.89;26.16;226%;0.74;42
39.45;71.41;186%;2.19;42
16.01;35.14;227%;1.35;42
16.21;36.48;231%;0.99;42
38.68;70.93;189%;2.51;42
16.24;35.58;223%;0.72;42
12.44;27.36;224%;0.63;42
9.91;22.98;238%;0.69;42
15.95;34.28;221%;1.08;42
14.70;30.55;212%;0.72;42
15.70;31.59;207%;1.01;42
4.77;11.71;251%;0.29;0
25.33;52.58;213%;1.46;42
17.30;37.56;222%;0.88;42
10.51;24.17;236%;0.71;42
14.98;31.91;219%;1.00;42
25.08;52.30;214%;1.38;42
16.63;36.66;226%;0.98;42
42.87;82.10;196%;2.32;42
23.09;44.40;199%;1.58;42
23.58;45.88;201%;1.55;42
3.86;10.02;264%;0.19;0
23.72;46.18;201%;1.65;42
11.82;25.43;221%;0.73;42
12.00;25.47;219%;0.81;42
14.76;30.73;215%;1.04;42
39.49;72.19;189%;2.70;42
11.96;25.82;221%;0.71;42
22.63;43.89;199%;1.30;42
25.42;52.78;213%;1.37;42
12.29;26.12;217%;0.58;42
11.29;24.70;225%;0.77;42
17.82;38.34;220%;1.01;42
39.07;72.69;192%;2.58;42
75.23;146.67;200%;4.04;42
6.03;15.21;258%;0.37;0
12.17;26.76;226%;0.80;42
22.48;45.40;209%;1.68;42
17.47;37.52;220%;1.02;42
22.12;41.56;193%;1.30;42
23.97;46.67;201%;1.69;42
15.72;32.15;211%;1.04;42
21.87;43.01;202%;1.19;42
39.97;75.00;194%;2.81;42
41.52;80.73;199%;2.26;42
24.36;49.76;208%;1.06;42
11.71;25.29;222%;0.73;42
41.43;81.27;201%;2.40;42
10.30;23.68;235%;0.59;42
25.45;52.35;210%;1.25;42
5.07;12.13;243%;0.21;0
22.15;43.70;202%;1.21;42
23.74;44.33;191%;1.22;42
12.21;26.34;221%;0.74;42
56.56;90.48;164%;2.45;42
22.74;44.04;200%;1.48;42
4.32;11.21;265%;0.29;0
17.79;32.23;186%;0.90;42
12.44;27.21;224%;0.74;42
37.78;69.56;190%;2.50;42
42.20;81.11;198%;2.50;42
18.38;39.75;221%;0.98;42
13.44;29.24;223%;0.81;42
39.45;76.32;198%;2.12;42
23.12;44.46;196%;1.09;42
22.88;45.08;203%;1.56;42
10.07;23.21;235%;0.50;42
4.02;10.24;262%;0.29;0
11.63;26.14;231%;0.84;42
39.81;76.25;196%;1.94;42
5.19;12.76;251%;0.31;0
