Real;User;CPU%;System;Exit
2.89;6.04;218%;0.27;0
2.89;5.91;214%;0.29;0
2.88;5.98;217%;0.28;0
2.92;6.01;216%;0.32;0
2.91;5.98;216%;0.33;0
2.92;6.00;214%;0.28;0
2.91;6.05;218%;0.30;0
2.90;5.89;214%;0.33;0
2.86;5.90;215%;0.27;0
2.89;6.18;220%;0.20;0
2.91;6.02;215%;0.26;0
2.92;6.16;220%;0.29;0
2.88;6.01;218%;0.27;0
2.87;5.84;213%;0.28;0
2.93;6.10;219%;0.32;0
2.87;5.81;214%;0.34;0
2.89;6.01;216%;0.24;0
2.87;5.81;211%;0.27;0
2.91;6.11;219%;0.28;0
2.91;6.00;216%;0.31;0
2.87;5.93;215%;0.25;0
2.92;5.98;213%;0.26;0
2.92;6.09;216%;0.22;0
2.86;5.85;215%;0.33;0
2.88;6.06;219%;0.24;0
2.86;5.98;218%;0.26;0
2.94;6.19;219%;0.28;0
2.87;5.88;213%;0.23;0
2.92;5.98;215%;0.31;0
2.89;5.99;217%;0.30;0
2.86;5.84;215%;0.34;0
2.89;5.87;214%;0.32;0
2.91;5.96;213%;0.24;0
2.86;5.85;212%;0.24;0
2.88;5.95;213%;0.21;0
2.93;6.07;217%;0.31;0
2.94;6.28;223%;0.28;0
2.94;5.96;213%;0.32;0
2.89;5.92;214%;0.28;0
2.88;5.91;216%;0.31;0
2.90;6.05;218%;0.30;0
2.89;5.94;214%;0.26;0
2.87;5.90;214%;0.25;0
2.89;5.93;214%;0.27;0
2.90;5.96;213%;0.25;0
2.92;6.12;218%;0.26;0
2.90;5.85;213%;0.33;0
2.94;6.18;218%;0.25;0
2.87;5.90;215%;0.28;0
2.91;6.08;218%;0.28;0
2.86;5.78;212%;0.31;0
2.92;6.20;220%;0.22;0
2.88;5.90;213%;0.26;0
2.92;6.06;218%;0.31;0
2.91;6.02;215%;0.26;0
2.91;5.81;211%;0.34;0
2.88;6.03;219%;0.30;0
2.90;5.96;216%;0.30;0
2.91;6.00;215%;0.28;0
2.87;5.97;216%;0.25;0
2.90;6.15;220%;0.26;0
2.91;5.98;215%;0.30;0
2.91;6.25;222%;0.23;0
2.88;5.91;213%;0.25;0
2.87;5.98;218%;0.30;0
2.93;6.05;216%;0.30;0
2.87;5.88;214%;0.28;0
2.92;6.21;220%;0.23;0
2.89;6.05;219%;0.28;0
2.89;5.88;214%;0.31;0
2.89;5.94;213%;0.24;0
2.90;5.89;211%;0.25;0
2.86;5.88;214%;0.25;0
2.88;5.91;215%;0.30;0
2.93;6.14;218%;0.26;0
2.86;5.82;214%;0.32;0
2.90;6.01;217%;0.30;0
2.94;6.06;217%;0.34;0
2.85;5.96;217%;0.25;0
2.89;6.14;219%;0.21;0
2.90;5.94;214%;0.29;0
2.88;5.92;214%;0.27;0
2.92;6.12;219%;0.29;0
2.88;6.04;218%;0.26;0
2.92;5.98;213%;0.26;0
2.88;5.89;212%;0.23;0
2.88;5.96;215%;0.26;0
2.89;6.06;218%;0.26;0
2.89;5.95;214%;0.25;0
2.90;5.96;215%;0.30;0
2.91;6.00;217%;0.31;0
2.89;6.03;218%;0.30;0
2.90;6.01;217%;0.27;0
2.90;5.96;215%;0.28;0
2.87;5.82;214%;0.31;0
2.87;5.89;214%;0.27;0
2.89;5.89;213%;0.27;0
2.92;6.13;219%;0.27;0
2.85;5.82;214%;0.30;0
2.89;6.05;218%;0.28;0
