Real;User;CPU%;System;Exit
3.56;8.97;258%;0.24;42
3.57;9.45;270%;0.21;42
3.50;9.06;264%;0.20;42
3.65;9.53;266%;0.21;42
3.56;9.18;263%;0.21;42
3.46;8.79;260%;0.22;42
3.46;8.93;264%;0.23;0
3.69;9.82;270%;0.16;42
3.58;9.33;267%;0.24;42
3.47;9.03;265%;0.20;42
3.57;9.61;275%;0.22;42
3.67;9.82;273%;0.22;42
3.49;9.15;267%;0.21;42
3.79;9.91;265%;0.16;42
3.53;9.25;268%;0.23;42
3.65;9.58;265%;0.14;42
3.53;8.91;258%;0.19;42
3.64;9.40;264%;0.23;42
2.92;7.71;268%;0.14;0
3.51;9.13;266%;0.25;42
3.89;10.27;270%;0.26;42
3.69;9.98;276%;0.21;42
3.58;9.46;270%;0.23;42
3.53;8.97;258%;0.18;42
3.58;9.55;272%;0.23;42
3.52;9.24;270%;0.31;42
3.65;9.66;268%;0.14;42
2.58;6.82;272%;0.21;0
3.52;8.98;262%;0.27;42
3.57;9.44;270%;0.19;42
3.70;9.74;269%;0.20;42
3.62;9.69;273%;0.21;42
3.43;8.77;260%;0.19;42
3.58;9.59;274%;0.26;42
3.53;9.15;264%;0.19;42
3.85;10.31;272%;0.20;42
3.89;9.61;252%;0.22;42
3.52;9.12;264%;0.19;42
3.57;9.61;275%;0.25;42
3.55;9.10;261%;0.19;42
3.52;9.07;262%;0.19;42
3.59;9.37;265%;0.17;42
3.55;9.07;262%;0.24;42
3.68;9.48;262%;0.19;42
3.52;8.80;257%;0.26;42
3.54;9.35;271%;0.27;42
3.80;10.06;270%;0.21;42
3.50;8.92;260%;0.18;42
3.61;10.04;283%;0.18;42
3.52;9.25;270%;0.27;42
3.53;9.13;265%;0.22;42
3.59;9.36;266%;0.23;42
3.57;9.78;281%;0.26;42
3.47;9.29;272%;0.19;42
2.89;7.77;274%;0.17;0
3.59;9.46;271%;0.28;42
3.60;9.32;264%;0.20;42
3.88;9.97;260%;0.14;42
3.85;10.13;269%;0.25;42
3.62;9.82;277%;0.22;42
3.80;9.72;261%;0.23;42
3.79;9.97;269%;0.24;42
3.57;9.25;265%;0.24;42
3.53;9.10;262%;0.17;42
3.79;9.89;267%;0.27;42
3.52;8.98;259%;0.16;42
3.52;8.94;260%;0.23;42
3.68;9.80;271%;0.21;42
3.49;8.92;263%;0.28;42
3.54;9.00;259%;0.20;42
3.60;9.49;271%;0.28;42
3.52;8.82;256%;0.19;42
3.58;9.03;259%;0.27;42
3.57;9.32;267%;0.24;42
3.51;9.11;266%;0.24;42
3.55;9.06;260%;0.19;42
3.15;8.19;265%;0.17;0
3.56;9.12;263%;0.26;42
3.65;9.39;264%;0.25;42
3.52;9.08;265%;0.25;42
3.48;9.23;271%;0.21;42
3.52;9.13;265%;0.23;42
3.64;9.68;272%;0.24;42
3.89;10.09;264%;0.20;42
3.57;8.99;258%;0.24;42
3.56;9.02;259%;0.23;42
3.49;8.89;259%;0.18;42
3.63;9.51;266%;0.18;42
3.88;10.18;267%;0.20;42
3.52;9.12;264%;0.19;42
3.48;9.02;263%;0.16;42
3.52;9.16;267%;0.24;0
3.53;8.95;259%;0.22;42
3.64;9.48;266%;0.22;42
3.48;8.80;257%;0.17;42
3.58;9.33;267%;0.27;42
3.55;9.17;262%;0.15;42
3.57;9.20;262%;0.18;42
3.61;9.34;264%;0.21;42
3.71;9.43;259%;0.19;42
