Real;User;CPU%;System;Exit
19.14;31.97;172%;0.98;42
18.00;30.73;176%;1.10;42
19.55;35.33;185%;0.93;42
18.71;32.61;179%;0.93;42
17.91;30.89;178%;1.02;42
18.47;31.95;178%;1.03;42
18.35;31.84;179%;1.04;42
18.87;31.72;172%;0.89;42
18.06;31.45;179%;0.99;42
18.18;30.43;172%;0.98;42
20.26;36.89;187%;1.11;42
17.98;31.42;180%;0.99;42
19.10;32.23;173%;0.94;42
21.07;38.72;188%;1.00;42
18.61;30.45;169%;1.04;42
18.87;32.56;178%;1.08;42
18.46;31.65;176%;1.00;42
19.14;36.49;195%;1.01;42
19.26;32.73;175%;1.14;42
19.28;32.53;173%;0.90;42
21.21;36.51;177%;1.16;42
20.22;36.49;185%;1.05;42
19.89;37.37;193%;1.07;42
19.70;37.03;192%;0.99;42
19.48;37.09;196%;1.12;42
18.68;31.72;174%;0.94;42
19.47;36.65;193%;1.04;42
19.55;36.49;192%;1.19;42
19.28;36.00;192%;1.13;42
20.03;36.24;185%;0.89;42
19.31;35.74;190%;0.99;42
18.84;32.02;176%;1.13;42
20.34;37.56;189%;1.06;42
19.34;36.15;192%;1.05;42
19.44;36.60;193%;1.05;42
20.28;38.15;193%;1.01;42
18.72;31.76;174%;0.89;42
19.34;33.57;179%;1.13;42
19.18;35.60;191%;1.10;42
18.86;31.93;174%;1.01;42
19.49;36.66;193%;1.06;42
19.61;37.15;195%;1.15;42
17.87;30.81;178%;1.08;42
17.79;30.57;178%;1.12;42
18.74;34.35;188%;0.98;42
19.47;36.35;192%;1.10;42
19.09;32.27;174%;1.12;42
18.83;32.38;176%;0.87;42
21.26;39.22;189%;1.00;42
17.99;31.98;183%;1.12;42
18.25;31.59;178%;0.98;42
18.61;32.33;179%;1.11;42
19.40;36.38;192%;1.04;42
20.34;37.04;187%;1.08;42
20.40;37.13;186%;0.95;42
19.41;36.42;193%;1.10;42
19.28;35.79;191%;1.06;42
19.42;35.72;189%;1.18;42
19.71;36.12;188%;1.02;42
19.32;35.34;188%;1.07;42
19.53;36.85;194%;1.08;42
19.60;36.92;194%;1.12;42
19.76;33.52;174%;0.98;42
19.17;32.67;175%;0.99;42
19.29;35.93;191%;0.96;42
19.41;36.75;194%;1.06;42
19.26;35.71;191%;1.09;42
19.22;33.09;177%;1.06;42
19.21;35.76;190%;0.92;42
21.97;38.90;181%;1.04;42
20.14;36.97;188%;1.08;42
19.36;35.99;191%;1.10;42
17.79;29.36;170%;0.90;42
19.46;35.75;188%;1.00;42
19.24;36.09;192%;1.05;42
18.01;31.08;178%;1.10;42
19.27;35.81;191%;1.05;42
19.67;36.70;192%;1.15;42
19.44;36.25;191%;1.00;42
18.51;30.78;171%;0.98;42
19.33;36.24;193%;1.08;42
19.48;36.72;193%;0.96;42
19.56;36.50;192%;1.14;42
18.54;34.41;191%;1.10;42
18.87;31.68;173%;0.98;42
20.05;37.00;190%;1.15;42
17.83;30.79;178%;1.05;42
19.45;35.87;191%;1.28;42
17.55;29.63;174%;1.06;42
19.39;36.64;194%;0.99;42
20.10;36.88;188%;1.08;42
19.52;36.70;193%;1.12;42
20.90;37.92;186%;1.06;42
18.17;31.51;179%;1.06;42
22.92;39.14;176%;1.22;42
20.85;34.67;171%;1.03;42
19.18;33.00;177%;0.96;42
19.45;36.44;193%;1.14;42
19.34;36.06;192%;1.13;42
18.19;31.21;177%;1.11;42
