Real;User;CPU%;System;Exit
3.33;6.21;195%;0.31;0
3.35;6.20;194%;0.32;0
3.36;6.15;192%;0.32;0
3.34;6.18;192%;0.26;0
3.31;6.29;197%;0.25;0
3.35;6.20;194%;0.30;0
3.33;6.15;194%;0.32;0
3.34;6.09;191%;0.32;0
3.33;6.18;194%;0.29;0
3.39;6.38;197%;0.33;0
3.32;6.04;192%;0.35;0
3.34;6.15;192%;0.27;0
3.36;6.10;189%;0.28;0
3.33;6.09;192%;0.32;0
3.36;6.16;193%;0.32;0
3.37;6.19;194%;0.35;0
3.35;6.20;193%;0.27;0
3.33;6.14;193%;0.32;0
3.34;6.14;194%;0.34;0
3.33;6.11;193%;0.33;0
3.34;6.11;194%;0.40;0
3.35;6.14;190%;0.23;0
3.31;6.11;193%;0.29;0
3.33;6.01;190%;0.33;0
3.36;6.28;195%;0.29;0
3.35;6.20;192%;0.26;0
3.31;6.12;192%;0.27;0
3.33;6.18;195%;0.31;0
3.33;6.16;193%;0.28;0
3.36;6.09;190%;0.32;0
3.34;6.23;194%;0.26;0
3.33;6.24;195%;0.26;0
3.33;6.01;189%;0.30;0
3.34;6.03;190%;0.32;0
3.34;6.13;192%;0.30;0
3.33;6.22;195%;0.29;0
3.31;6.06;192%;0.31;0
3.37;6.16;190%;0.27;0
3.32;6.06;191%;0.30;0
3.33;6.15;194%;0.31;0
3.32;6.16;193%;0.28;0
3.34;6.11;192%;0.32;0
3.36;6.16;192%;0.30;0
3.33;6.18;195%;0.31;0
3.35;6.30;195%;0.25;0
3.33;6.13;192%;0.30;0
3.33;6.18;195%;0.32;0
3.32;6.16;194%;0.29;0
3.34;6.25;195%;0.27;0
3.37;6.33;196%;0.30;0
3.32;6.14;194%;0.31;0
3.35;6.21;194%;0.31;0
3.35;6.05;191%;0.37;0
3.35;6.17;192%;0.28;0
3.35;6.24;195%;0.31;0
3.37;6.17;192%;0.32;0
3.34;6.24;195%;0.29;0
3.35;6.27;194%;0.25;0
3.32;6.08;192%;0.32;0
3.34;6.20;194%;0.30;0
3.33;6.23;194%;0.26;0
3.33;6.18;193%;0.27;0
3.32;6.18;194%;0.26;0
3.35;6.12;192%;0.31;0
3.35;6.25;196%;0.32;0
3.38;6.25;194%;0.31;0
3.34;6.12;193%;0.32;0
3.31;6.10;193%;0.33;0
3.31;6.01;189%;0.27;0
3.29;5.97;190%;0.31;0
3.33;6.17;192%;0.26;0
3.35;6.25;193%;0.24;0
3.36;6.20;191%;0.23;0
3.33;6.22;197%;0.34;0
3.34;6.31;196%;0.24;0
3.36;6.13;192%;0.33;0
3.36;6.24;194%;0.29;0
3.34;6.08;192%;0.35;0
3.34;6.24;195%;0.28;0
3.34;6.23;195%;0.31;0
3.35;6.25;195%;0.32;0
3.37;6.13;190%;0.29;0
3.33;6.25;194%;0.23;0
3.38;6.32;194%;0.26;0
3.31;6.13;194%;0.30;0
3.30;6.05;193%;0.35;0
3.42;6.37;195%;0.33;0
3.32;6.18;194%;0.28;0
3.31;6.14;194%;0.30;0
3.32;6.23;195%;0.25;0
3.32;6.19;194%;0.28;0
3.36;6.13;190%;0.28;0
3.31;6.09;193%;0.30;0
3.41;6.40;195%;0.26;0
3.37;6.31;195%;0.27;0
3.35;6.35;197%;0.26;0
3.31;6.04;192%;0.32;0
3.34;6.24;196%;0.32;0
3.36;6.21;195%;0.34;0
3.34;6.11;192%;0.33;0
